Noruega;1;Peru;4;Nair;1
Nueva Zelandia;3;Polonia;2;Dante;1
Ucrania;4;Portugal;2;Marcos;1
Pa¡ses Bajos;2;Qatar;1;Nair;1
Pakistan;2;Reino Unido ;1;Dante;1
Singapur;4;RepublicaArabe Siria;3;Marcos;1
Panam ;2;Suiza;4;Nair;1
Papua Nueva Guinea;2; Corea;2;Dante;1
Paraguay;2;Rumania;2;Marcos;1
Peru;4;Noruega;1;Nair;1
Polonia;2;Nueva Zelandia;1;Dante;1
Portugal;2;Ucrania;2;Marcos;1
Qatar;1;Pa¡ses Bajos;4;Nair;1
Reino Unido ;1;Pakistan;2;Dante;1
RepublicaArabe Siria;3;Singapur;2;Marcos;1
Suiza;1;Panam ;1;Nair;1
 Corea;1;Papua Nueva Guinea;1;Dante;1
Rumania;3;Paraguay;3;Marcos;1
